,p_e,phi,rho,te,s
0,0.0,1.0,0.0,199.9989233973149,10000.0
1,0.0,1.05,0.0,199.9989233973149,10000.0
2,0.0,1.1,0.0,199.9989233973149,10000.0
3,0.0,1.15,0.0,199.9989233973149,10000.0
4,0.0,1.2,0.0,199.9989233973149,10000.0
5,0.0,1.25,0.0,199.9989233973149,10000.0
6,0.0,1.3,0.0,199.9989233973149,10000.0
7,0.0,1.35,0.0,199.9989233973149,10000.0
8,0.0,1.4,0.0,199.9989233973149,10000.0
9,0.0,1.45,0.0,199.9989233973149,10000.0
10,0.0,1.5,0.0,199.9989233973149,10000.0
11,0.0,1.0,0.1,199.9989233973149,10000.0
12,0.0,1.05,0.1,1324.8778704463205,1290.3673966295407
13,0.0,1.1,0.1,15606.959074153054,10000.0
14,0.0,1.15,0.1,16885.12322920585,10000.0
15,0.0,1.2,0.1,17593.556286675168,10000.0
16,0.0,1.25,0.1,18112.57548379309,10000.0
17,0.0,1.3,0.1,18534.536532123082,10000.0
18,0.0,1.35,0.1,18896.56444724666,10000.0
19,0.0,1.4,0.1,19217.33578401178,10000.0
20,0.0,1.45,0.1,19507.553622634045,10000.0
21,0.0,1.5,0.1,19773.951197887487,10000.0
22,0.0,1.0,0.2,199.9989233973149,10000.0
23,0.0,1.05,0.2,1926.7422537986267,1748.204819879223
24,0.0,1.1,0.2,16293.294943992463,10000.0
25,0.0,1.15,0.2,17668.25528375233,10000.0
26,0.0,1.2,0.2,18433.013269973344,10000.0
27,0.0,1.25,0.2,18990.4910482613,10000.0
28,0.0,1.3,0.2,19442.11033131585,10000.0
29,0.0,1.35,0.2,19828.706246037993,10000.0
30,0.0,1.4,0.2,20170.710529748405,10000.0
31,0.0,1.45,0.2,20479.80824803737,10000.0
32,0.0,1.5,0.2,20763.317805618804,10000.0
33,0.0,1.0,0.30000000000000004,199.9989233973149,10000.0
34,0.0,1.05,0.30000000000000004,2214.494336731969,1961.8951557296182
35,0.0,1.1,0.30000000000000004,16666.64314101338,10000.0
36,0.0,1.15,0.30000000000000004,18153.770645129134,10000.0
37,0.0,1.2,0.30000000000000004,18965.689756050266,10000.0
38,0.0,1.25,0.30000000000000004,19552.38008698534,10000.0
39,0.0,1.3,0.30000000000000004,20025.529518350962,10000.0
40,0.0,1.35,0.30000000000000004,20429.441127431583,10000.0
41,0.0,1.4,0.30000000000000004,20786.131541972878,10000.0
42,0.0,1.45,0.30000000000000004,21108.123919539303,10000.0
43,0.0,1.5,0.30000000000000004,21403.23662353829,10000.0
44,0.0,1.0,0.4,199.9989233973149,10000.0
45,0.0,1.05,0.4,2382.1880521367707,2085.14812409046
46,0.0,1.1,0.4,16927.617636751376,10000.0
47,0.0,1.15,0.4,18525.548941241235,10000.0
48,0.0,1.2,0.4,19379.30153031172,10000.0
49,0.0,1.25,0.4,19990.798710583582,10000.0
50,0.0,1.3,0.4,20481.772229393053,10000.0
51,0.0,1.35,0.4,20899.875366330314,10000.0
52,0.0,1.4,0.4,21268.475093074867,10000.0
53,0.0,1.45,0.4,21600.885656396553,10000.0
54,0.0,1.5,0.4,21905.270987258573,10000.0
55,0.0,1.0,0.5,199.9989233973149,10000.0
56,0.0,1.05,0.5,2492.759281098044,2165.9448679730745
57,0.0,1.1,0.5,17131.76725660953,10000.0
58,0.0,1.15,0.5,18841.789712044156,10000.0
59,0.0,1.2,0.5,19735.013205789215,10000.0
60,0.0,1.25,0.5,20369.21537890147,10000.0
61,0.0,1.3,0.5,20876.262169888276,10000.0
62,0.0,1.35,0.5,21306.98896871568,10000.0
63,0.0,1.4,0.5,21686.150569954516,10000.0
64,0.0,1.45,0.5,22027.730712800432,10000.0
65,0.0,1.5,0.5,22340.282482885515,10000.0
66,0.0,1.0,0.6000000000000001,199.9989233973149,10000.0
67,0.0,1.05,0.6000000000000001,2572.205360757377,2223.777727114391
68,0.0,1.1,0.6000000000000001,17303.13387211512,10000.0
69,0.0,1.15,0.6000000000000001,19131.33136757805,10000.0
70,0.0,1.2,0.6000000000000001,20063.939379971132,10000.0
71,0.0,1.25,0.6000000000000001,20720.202263411138,10000.0
72,0.0,1.3,0.6000000000000001,21242.663302233104,10000.0
73,0.0,1.35,0.6000000000000001,21685.422332871156,10000.0
74,0.0,1.4,0.6000000000000001,22074.581248376304,10000.0
75,0.0,1.45,0.6000000000000001,22424.8183105457,10000.0
76,0.0,1.5,0.6000000000000001,22745.057391582915,10000.0
77,0.0,1.0,0.7000000000000001,199.9989233973149,10000.0
78,0.0,1.05,0.7000000000000001,2633.3878040842174,2268.195156109627
79,0.0,1.1,0.7000000000000001,17455.344589749395,10000.0
80,0.0,1.15,0.7000000000000001,19414.90799531772,10000.0
81,0.0,1.2,0.7000000000000001,20389.244844096156,10000.0
82,0.0,1.25,0.7000000000000001,21068.355801165486,10000.0
83,0.0,1.3,0.7000000000000001,21606.562847905665,10000.0
84,0.0,1.35,0.7000000000000001,22061.480732766126,10000.0
85,0.0,1.4,0.7000000000000001,22460.78168199991,10000.0
86,0.0,1.45,0.7000000000000001,22819.71092356314,10000.0
87,0.0,1.5,0.7000000000000001,23147.70820275098,10000.0
88,0.0,1.0,0.8,199.9989233973149,10000.0
89,0.0,1.05,0.8,2683.900137748162,2304.789651730181
90,0.0,1.1,0.8,17598.918959243038,10000.0
91,0.0,1.15,0.8,19716.547043416605,10000.0
92,0.0,1.2,0.8,20738.955021455837,10000.0
93,0.0,1.25,0.8,21443.692515877192,10000.0
94,0.0,1.3,0.8,21999.380760670203,10000.0
95,0.0,1.35,0.8,22467.776623483885,10000.0
96,0.0,1.4,0.8,22878.12311926079,10000.0
97,0.0,1.45,0.8,23246.60078598669,10000.0
98,0.0,1.5,0.8,23583.070075658816,10000.0
99,0.0,1.0,0.9,199.9989233973149,10000.0
100,0.0,1.05,0.9,2730.146647577707,2338.2341028774485
101,0.0,1.1,0.9,17748.305492412273,10000.0
102,0.0,1.15,0.9,20088.619425246263,10000.0
103,0.0,1.2,0.9,21176.065362118134,10000.0
104,0.0,1.25,0.9,21914.515935912546,10000.0
105,0.0,1.3,0.9,22492.82966189078,10000.0
106,0.0,1.35,0.9,22978.508597760596,10000.0
107,0.0,1.4,0.9,23403.03706560127,10000.0
108,0.0,1.45,0.9,23783.699050111274,10000.0
109,0.0,1.5,0.9,24130.88231101053,10000.0
110,0.0,1.0,1.0,199.9989233973149,10000.0
111,0.0,1.05,1.0,2841.593647348972,2418.692238988434
112,0.0,1.1,1.0,18173.39161754604,10000.0
113,0.0,1.15,1.0,24563.338701986013,10000.0
114,0.0,1.2,1.0,33143.375178121605,10000.0
115,0.0,1.25,1.0,44719.62335994799,10000.0
116,0.0,1.3,1.0,60339.24627536827,10000.0
117,0.0,1.35,1.0,81414.53540203803,10000.0
118,0.0,1.4,1.0,109851.0615278801,10000.0
119,0.0,1.45,1.0,148219.97847690686,10000.0
120,0.0,1.5,1.0,199990.49999999997,10000.0
